FAZENDA VILANOVA,3745590.67,2284,1639.9258625218913,143.321,0.666,38.46,13925320.620000001,12444132.58,28025.65
FELIZ,5844115.700000001,4608,1268.2542751736114,84.794,0.698,18.87,21283935.61,16119122.950000001,25799.93
FLORES DA CUNHA,32357304.86,13640,2372.236426686217,94.832,0.75,13.33,52318266.71,42841413.800000004,31408.48
FLORIANO PEIXOTO,2225223.36,31063,71.63581624440653,276.231,0.754,13.19,121269741.75,97657108.34,53356.89
FONTOURA XAVIER,3624321.88,1737,2086.541093839954,168.521,0.663,125,15320698.379999999,11065216.23,32812.94
FORMIGUEIRO,4130684.5400000005,10241,403.3477726784494,583.465,0.661,11.24,29049740.82,26188788.68,19353.31
FORQUETINHA,2430238.5999999996,6616,367.3274788391777,578.875,0.682,14.49,26870566.200000003,21061916.099999998,28268.41
FORTALEZA DOS VALOS,7998939.39,2400,3332.8914124999997,93.275,0.683,58.82,11988822.53,11091391.120000001,17422.52
FREDERICO WESTPHALEN,20156837.130000003,4285,4704.046004667445,650.512,0.756,20.41,32082205.580000002,22414803.54,74415.91
GARIBALDI,30390582.080000002,31498,964.8416432789384,265.181,0.76,5.03,103770422.35,73774317.47,36706.92
GARRUCHOS,3960580.709999999,35440,111.75453470654625,167.559,0.786,10,141656111.63,113849769.69,59883.3
GAURAMA,5797279.510000001,2886,2008.7593589743592,803.737,0.671,40,22135747.599999998,15975775.879999999,42267.42
GENERAL CAMARA,4543570.63,5489,827.7592694479869,204.428,0.738,19.23,22522756.369999997,17579933.369999997,42172.48
GENTIL,3711026.09,8361,443.8495502930271,510.01,0.686,11.11,21506479.11,17890605.47,18762.91
GETULIO VARGAS,7625648.47,1626,4689.820707257072,184.715,0.733,38.46,14768638.97,11861221.52,67135.65
GIRUA,14465016.14,16184,893.7849814631735,287.466,0.746,10.31,54628396.11,44655776.559999995,34152.09
GLORINHA,7011289.629999999,15863,441.99014246989844,857.059,0.721,15.79,71959931.48,61768177.03,48599.82
GRAMADO,21016267.27,8204,2561.7098086299366,323.955,0.714,10.64,32991640.15,33087620.96,41243.59
GRAMADO DOS LOUREIRO,2164600.64,36555,59.21489919299686,239.341,0.764,8.22,233602193.70000002,216720676.89000002,54901.17
GRAMADO XAVIER,2411192.8200000003,2058,1171.61944606414,131.396,0.685,45.45,16440806.99,11574730.44,25351.87
GRAVATAI,156291790.60999998,4352,35912.63571001838,217.515,0.634,48.78,17998482.1,15817481.43,19318.33
GUABIJU,2518281.76,283620,8.879069741203017,468.288,0.736,11.45,788308102.3499999,704080668.1999999,42820.82
GUAIBA,84012115.11999999,1490,56383.96987919462,146.925,0.758,-,13074174.98,11686152.53,48844.08
GUAPORE,13512057.920000002,98239,137.5427062571891,376.166,0.73,9.76,299640049.83,241629931.61999997,68641.09
GUARANI DAS MISSOES,4129003.87,25968,159.00353781577326,297.545,0.765,12.5,96100617.21,74803778.41,34001.53
HARMONIA,8078004.03,7463,1082.4070789226853,290.7,0.737,11.24,27663186.37,25187470.06,46961.83
HERVAL,5744634.94,4917,1168.3211185682328,48.562,0.749,22.22,30745510.51,24571193.39,35168.13
HERVEIRAS,2039878.0199999996,3019,675.6800331235507,118.252,0.616,66.67,14430501.850000001,12660691.09,19922.85
HORIZONTINA,30092697.39,19389,1552.049996905462,229.694,0.783,11.24,110443570.99,84110490.9,84405.81
HULHA NEGRA,6954103.669999999,6836,1017.2767217671151,822.608,0.643,14.71,25728644.970000003,20944541.65,30024.62
HUMAITA,5630270.2299999995,4736,1188.823950591216,135.01,0.738,22.73,26800765.35,21490228.51,30293.45
IBARAMA,2955239.29,4399,671.7979745396681,195.426,0.652,25.64,17971718.110000003,16630525.409999998,20531.21
IBIACA,6502786.03,4699,1383.8659353053843,348.778,0.739,31.25,27178795.53,20966366.43,47075.19
IBIRAIARAS,5673436.6499999985,7265,780.9272746042668,292.16,0.724,14.29,29828839.32,23723324.44,33922.21
IBIRAPUITA,3059835.17,4000,764.9587925,307.164,0.638,30.3,21103760.259999998,18158481.09,29111.88
